🔴  央视频道,#genre#
重庆卫视,http://222.85.69.6/TVOD/88888888/224/3221227025/index.m3u8?icpid=88888888&servicetype=3&playseek=
重庆卫视,http://222.85.69.6/TVOD/88888888/224/3221226419/10000100000000060000000000398821_0.smil/index.m3u8?fmt=ts2hls&servicetype=
重庆卫视,http://222.85.69.6/PLTV/88888888/224/3221227025/index.m3u8?icpid=88888888&servicetype=2&npt=
重庆卫视,http://222.85.69.6/PLTV/88888888/224/3221226419/10000100000000060000000000398821_0.smil/index.m3u8?
黑龙江卫视,http://222.85.69.6/PLTV/88888888/224/3221227039/index.m3u8?icpid=88888888&servicetype=1
重庆卫视,rtp://239.16.10.105:2000
重庆卫视,http://222.85.69.6/TVOD/88888888/224/3221227039/index.m3u8?icpid=88888888&servicetype=3&playseek=
重庆卫视,http://222.85.69.6/TVOD/88888888/224/3221226502/10000100000000060000000000428953_0.smil/index.m3u8?fmt=ts2hls&servicetype=
重庆卫视,http://222.85.69.6/PLTV/88888888/224/3221227039/index.m3u8?icpid=88888888&servicetype=2&npt=
重庆卫视,http://222.85.69.6/PLTV/88888888/224/3221226502/10000100000000060000000000428953_0.smil/index.m3u8?
辽宁卫视,http://222.85.69.6/PLTV/88888888/224/3221227014/index.m3u8?icpid=88888888&servicetype=1"
辽宁卫视,rtp://239.16.10.29:2000
辽宁卫视,http://222.85.69.6/TVOD/88888888/224/3221227014/index.m3u8?icpid=88888888&servicetype=3&playseek=
辽宁卫视,http://222.85.69.6/TVOD/88888888/224/3221226491/10000100000000060000000000400017_0.smil/index.m3u8?fmt=ts2hls&servicetype=
辽宁卫视,http://222.85.69.6/PLTV/88888888/224/3221227014/index.m3u8?icpid=88888888&servicetype=2&npt=
辽宁卫视,http://222.85.69.6/PLTV/88888888/224/3221226491/10000100000000060000000000400017_0.smil/index.m3u8?
吉林卫视,http://222.85.69.6/PLTV/88888888/224/3221227022/index.m3u8?icpid=88888888&servicetype=1
吉林卫视,rtp://239.16.10.28:2000
吉林卫视,http://222.85.69.6/TVOD/88888888/224/3221227022/index.m3u8?icpid=88888888&servicetype=3&playseek=
吉林卫视,http://222.85.69.6/TVOD/88888888/224/3221226494/10000100000000060000000000400016_0.smil/index.m3u8?fmt=ts2hls&servicetype=
吉林卫视,http://222.85.69.6/PLTV/88888888/224/3221227022/index.m3u8?icpid=88888888&servicetype=2&npt=
吉林卫视,http://222.85.69.6/PLTV/88888888/224/3221226494/10000100000000060000000000400016_0.smil/index.m3u8?
河南卫视,http://222.85.69.6/PLTV/88888888/224/3221226984/index.m3u8?icpid=88888888&servicetype=1
河南卫视,rtp://239.16.10.119:2000
河南卫视,http://222.85.69.6/TVOD/88888888/224/3221226984/index.m3u8?icpid=88888888&servicetype=3&playseek=
河南卫视,http://222.85.69.6/TVOD/88888888/224/3221226400/10000100000000060000000000427502_0.smil/index.m3u8?fmt=ts2hls&servicetype=
河南卫视,http://222.85.69.6/PLTV/88888888/224/3221226984/index.m3u8?icpid=88888888&servicetype=2&npt=
河南卫视,http://222.85.69.6/PLTV/88888888/224/3221226400/10000100000000060000000000427502_0.smil/index.m3u8?
河北卫视,http://222.85.69.6/PLTV/88888888/224/3221227027/index.m3u8?icpid=88888888&servicetype=1
河北卫视,rtp://239.16.10.22:2000
河北卫视,http://222.85.69.6/TVOD/88888888/224/3221227027/index.m3u8?icpid=88888888&servicetype=3&playseek=
河北卫视,http://222.85.69.6/TVOD/88888888/224/3221226446/10000100000000060000000000399661_0.smil/index.m3u8?fmt=ts2hls&servicetype=
河北卫视,http://222.85.69.6/PLTV/88888888/224/3221227027/index.m3u8?icpid=88888888&servicetype=2&npt=
河北卫视,http://222.85.69.6/PLTV/88888888/224/3221226446/10000100000000060000000000399661_0.smil/index.m3u8?
湖南卫视,http://222.85.69.6/PLTV/88888888/224/3221227021/index.m3u8?icpid=88888888&servicetype=1
湖南卫视,rtp://239.16.10.6:2000
湖南卫视,http://222.85.69.6/TVOD/88888888/224/3221227021/index.m3u8?icpid=88888888&servicetype=3&playseek=
湖南卫视,http://222.85.69.6/TVOD/88888888/224/3221226589/10000100000000060000000000527302_0.smil/index.m3u8?fmt=ts2hls&servicetype=
湖南卫视,http://222.85.69.6/PLTV/88888888/224/3221227021/index.m3u8?icpid=88888888&servicetype=2&npt=
湖北卫视,http://222.85.69.6/PLTV/88888888/224/3221227057/index.m3u8?icpid=88888888&servicetype=1
湖北卫视,rtp://239.16.10.21:2000
湖北卫视,http://222.85.69.6/TVOD/88888888/224/3221227057/index.m3u8?icpid=88888888&servicetype=3&playseek=
湖北卫视,http://222.85.69.6/TVOD/88888888/224/3221226443/10000100000000060000000000399660_0.smil/index.m3u8?fmt=ts2hls&servicetype=
湖北卫视,http://222.85.69.6/PLTV/88888888/224/3221227057/index.m3u8?icpid=88888888&servicetype=2&npt=
湖北卫视,http://222.85.69.6/PLTV/88888888/224/3221226443/10000100000000060000000000399660_0.smil/index.m3u8?
湖北卫视,http://222.85.69.6/PLTV/88888888/224/3221226589/10000100000000060000000000527302_0.smil/index.m3u8?
山东卫视,http://222.85.69.6/PLTV/88888888/224/3221227004/index.m3u8?icpid=88888888&servicetype=1
山东卫视,rtp://239.16.10.14:2000
山东卫视,http://222.85.69.6/TVOD/88888888/224/3221227004/index.m3u8?icpid=88888888&servicetype=3&playseek=
山东卫视,http://222.85.69.6/TVOD/88888888/224/3221226422/10000100000000060000000000398835_0.smil/index.m3u8?fmt=ts2hls&servicetype=
山东卫视,http://222.85.69.6/PLTV/88888888/224/3221227004/index.m3u8?icpid=88888888&servicetype=2&npt=
山东卫视,http://222.85.69.6/PLTV/88888888/224/3221226422/10000100000000060000000000398835_0.smil/index.m3u8?
山西卫视,http://222.85.69.6/PLTV/88888888/224/3221227042/index.m3u8?icpid=88888888&servicetype=1
山西卫视,rtp://239.16.10.24:2000
山西卫视,http://222.85.69.6/TVOD/88888888/224/3221227042/index.m3u8?icpid=88888888&servicetype=3&playseek=
山西卫视,http://222.85.69.6/TVOD/88888888/224/3221226506/10000100000000060000000000400011_0.smil/index.m3u8?fmt=ts2hls&servicetype=
山西卫视,http://222.85.69.6/PLTV/88888888/224/3221227042/index.m3u8?icpid=88888888&servicetype=2&npt=
山西卫视,http://222.85.69.6/PLTV/88888888/224/3221226506/10000100000000060000000000400011_0.smil/index.m3u8?
安徽卫视,http://222.85.69.6/PLTV/88888888/224/3221227017/index.m3u8?icpid=88888888&servicetype=1
安徽卫视,rtp://239.16.10.9:2000
安徽卫视,http://222.85.69.6/TVOD/88888888/224/3221227017/index.m3u8?icpid=88888888&servicetype=3&playseek=
安徽卫视,http://222.85.69.6/TVOD/88888888/224/3221226407/10000100000000060000000000398811_0.smil/index.m3u8?fmt=ts2hls&servicetype=
安徽卫视,http://222.85.69.6/PLTV/88888888/224/3221227017/index.m3u8?icpid=88888888&servicetype=2&npt=
安徽卫视,http://222.85.69.6/PLTV/88888888/224/3221226407/10000100000000060000000000398811_0.smil/index.m3u8?
江苏卫视,http://222.85.69.6/PLTV/88888888/224/3221227007/index.m3u8?icpid=88888888&servicetype=1
江苏卫视,rtp://239.16.10.8:2000
江苏卫视,http://222.85.69.6/TVOD/88888888/224/3221227007/index.m3u8?icpid=88888888&servicetype=3&playseek=
江苏卫视,http://222.85.69.6/TVOD/88888888/224/3221226595/10000100000000060000000000527324_0.smil/index.m3u8?fmt=ts2hls&servicetype=
江苏卫视,http://222.85.69.6/PLTV/88888888/224/3221227007/index.m3u8?icpid=88888888&servicetype=2&npt=
江苏卫视,http://222.85.69.6/PLTV/88888888/224/3221226595/10000100000000060000000000527324_0.smil/index.m3u8?
浙江卫视,http://222.85.69.6/PLTV/88888888/224/3221227008/index.m3u8?icpid=88888888&servicetype=1
浙江卫视,rtp://239.16.10.5:2000
